"* Required Fields","* обязательные поля"
"-- Select --","-- выберите значение --"
"Add New Option","Добавить группу вариантов"
"Add Selection","Добавить набор"
"As Low as","показывать только наименьшую цену"
"As low as","показывать только наименьшую цену"
"Bundle Items","Товары комплекта"
"Bundle Product","Товарный комплект"
"Buy %1$s with %2$s discount each","Купить %1$s со %2$s скидкой каждый"
"Catalog Product View (Bundle)","Карточка товарного комплекта"
"Checkbox","галочки с множественным выбором"
"Choose a selection...","Выбрать набор..."
"Close","Закрыть"
"Default","рекомендуемый покупателю вариант"
"Default Qty","количество в комплекте"
"Default Title","витринное название группы:"
"Delete Option","Удалить группу"
"Drop-down","выпадающий список"
"Dynamic","назначается системой"
"Excl. Tax","без налогов"
"Fixed","конкретно указанный"
"From","От"
"From:","От:"
"Gift Message","Поздравительное сообщение"
"Incl. Tax","с налогами"
"Input Type","элемент управления"
"Is Required","выбор обязателен?"
"Message:","Сообщение:"
"Multiple Select","список с множественным выбором"
"N/A","неизвестно"
"No options of this product are available.","Для данного товара нет параметров."
"None","нет"
"Percent","относительная (в процентах)"
"Percent Discount","Скидка в процентах"
"Please Select Products to Add","Выберите товары для добавления"
"Please enter search conditions to view products.","Укажите критерии поиска товаров."
"Please select options for product.","Выберите параметры для товара."
"Please specify product option(s).","Укажите параметры товара."
"Position","порядковый номер группы"
"Price Range","показывать интервал цен"
"Price Type","тип наценки"
"Price as configured","Итого"
"Qty:","Количество:"
"Radio Buttons","кнопки-переключатели"
"Required options are not selected.","Обязательные параметры не выбраны."
"Selected required options are not available.","Выбранные обязательные параметры недоступны."
"Separately","как независимые товары"
"Ship Bundle Items","Как отображать товары комплекта в продажных документах: единым комплектом или как независимые товары?"
"Shipment","Доставка"
"Store View Title","Заголовок для витрины"
"There is no defined renderer for ""%s"" option type.","Для типа параметров «%s» нет отображения."
"This product is also part of bundle(s)","Этот товар также является частью товарных комплектов"
"To","До"
"To:","До:"
"Together","единым комплектом"
"Use Default Value","Использовать значение по умолчанию"
"User Defined Qty","разрешить покупателю менять количество?"
