"Cron (Scheduled Tasks) - all the times are in minutes","Регулярные работы"
"Daily","Ежедневно"
"Failure History Lifetime","Срок хранения в расписании просроченных и сбойных работ"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Для своей правильной работы интернет-магазин на Magento должен проводить <b>регулярные работы</b>.<br/>В рамках регулярных работ Magento обновляет свой <b>кэш</b>, перестраивает <b>расчётные таблицы</b>, обновляет <b>карту сайта</b>.<br/>Свежие версии Magento отсылают <b>письма</b> покупателям о заказе не сразу при заказе, а в рамках регулярных работ.<br/>Модуль планирования и выполнения регулярных работ Magento запускается с командной строки планировщиком задач операционной системы (<b>cron</b>).<br/>При этом каждая ругулярная работа Magento имеет своё <b>индивидуальное расписание</b>.<br/>В текущем разделе настроек задаются общие для всех работ настройки модуля планирования и выполнения регулярных работ Magento.<br/>Всё время указано <b>в минутах</b>."
"Generate Schedules Every","Частота планирования<br/>(составления расписаний)"
"History Cleanup Every","Периодичность удаления из расписания выполненных, просроченных и сбойных работ"
"Invalid callback: %s::%s does not exist","Неверный обратный вызов (callback): %s::%s не существует"
"Invalid model/method definition, expecting ""model/class::method"".","Программист неправильно указал метод-обработчик в настройках планировщика задач. Метод надо указывать в формате «model/class::method»."
"Missed if Not Run Within","Игнорировать работы, выполнение которых запоздало более чем на указанное количество минут"
"Monthly","Ежемесячно"
"No callbacks found","Обратные вызовы отсутствуют"
"Schedule Ahead for","Срок планирования"
"Success History Lifetime","Срок хранения в расписании выполненных работ"
"Too late for the schedule.","Слишком поздно для запуска."
"Unable to save the cron expression.","Невозможно сохранить команду запуска задачи."
"Unknown error.","Неизвестная ошибка."
"Weekly","Еженедельно"
