"--Please Select--","--Выберите--"
"API Login ID","API Login ID"
"Accepted Currency","Разрешённая валюта"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Код проверки подлинности карты (содержит 3 или 4 цифры, располагается на обратной стороне Вашей банковской карты, иногда называется CVV2 или CVC2)"
"Card Verification Number Visual Reference","Код проверки подлинности карты"
"Close","Закрыть"
"Credit Card Information","Банковская карта. Информация"
"Credit Card Number","Банковская карта. Номер"
"Credit Card Type","Банковская карта. Тип"
"Credit Card Types","Банковская карта. Типы"
"Credit Card Verification","Банковская карта. Проверка"
"Debug","Debug"
"Email Customer","Оповестить покупателя по электронной почте"
"Enabled","Включено"
"Expiration Date","Дата истечения срока действия"
"Gateway URL","URL шлюза"
"Maximum Order Total","Максимальная стоимость заказа"
"Merchant MD5","Merchant MD5"
"Merchant's Email","Email продавца"
"Minimum Order Total","Минимальная стоимость заказа"
"New Order Status","Состояние свежеразмещённых заказов"
"Order saving error: %s","Ошибка сохранения заказа: %s"
"Payment Action","Режим оплаты"
"Payment authorization error.","Ошибка авторизации оплаты."
"Payment authorization error. Transacion id is empty.","Ошибка авторизации оплаты. Пустой идентификатор транзакции."
"Payment error. Order was not found.","Ошибка оплаты. Заказ не найден."
"Payment error. Paid amount doesn\'t match the order amount.","Ошибка оплаты. Сумма оплаты не соответствует сумме заказа."
"Payment from Applicable Countries","Ограничить доступность способа оплаты покупателями из конкретных стран?"
"Payment from Specific Countries","Допустимые страны покупателей"
"Please, choose payment method","Выберите способ оплаты"
"Response hash validation failed. Transaction declined.","Хэш ответа не прошёл проверку. Транзакция отклонена."
"Sort Order","порядок"
"Test Mode","Тестовый режим"
"The order has been created.","Заказ создан."
"There was an error processing your order. Please contact us or try again later.","При обработке Вашего заказа произошёл сбой. Сообщите об этом администратору магазина."
"Title","Заголовок"
"Transaction Key","Ключ транзакции"
"What is this?","Что это?"
"You will be required to enter your payment details before you place an order.","Необходимо указать параметры платежа до завершения заказа."
