"<strong>%s</strong> item(s)","товаров: <strong>%s</strong>"
"<strong>0</strong> item","товаров: <strong>0</strong>"
"All Products","все товары"
"Ajax for Compare","Использовать ли этот модуль для добавления товара к сравнению?"
"Ajax for Update","Использовать ли этот модуль при редактировании содержимого корзины?"
"Ajax for Wishlist","Использовать ли этот модуль для добавления товара в план покупок?"
"Appear","постепенное появление"
"Blind","жалюзи"
"Click","при нажатии"
"Confirm Box Settings","Диалог-подтверждение"
"Display","Показывать?"
"Display Input","Поле редактирования количества"
"Effect Duration","Длительность спецэффекта"
"Effect type","Спецэффект"
"Enable Module","Включить?"
"General","Основное"
"Go to сart","Корзина"
"Go to Cart","Корзина"
"Hover","при наведении мыши"
"if false, long description will used","при значении «нет» будет показано полное описание"
"in your","<span>&nbsp;</span>"
"Linkable","Сделать картинку ссылкой?"
"List items is","Тип списка"
"Max characters","Максимальное количество символов"
"Mini Cart Settings","Мини-корзина"
"Product description","Описание товара"
"Product image","Картинка товара"
"Product Price","Цена"
"Product Quantity","Количество"
"Product Rating","Рейтинг"
"Product title","Подпись к картинке"
"Recent Products","недавние товары"
"Scroll to Cart when addtocart","Прокручивать ли страницу к корзине при добавлении в корзину товара?"
"Short Description","Краткое описание?"
"Show Confirm Box","Показывать?"
"Show product in Confirm box","Показывать ли в окне-подтверждении товар?"
"Slide","скольжение"
"SNS Ajax Cart","SNS Корзина"
"Strip Tags","Удалить теги HTML?"
"Time countdown number","Продолжительность показа"
"Thumbnail height","Высота картинки"
"Thumbnail width","Ширина картинки"
"Usign Image Fly when addtocart","Показывать ли анимированную картинку при добавлении товара в корзину?"
"With unit is px(pixel)","в пикселях"
"With unit is seconds","в секундах"
