"Connect with","Войти через"
"HTTP error %d occurred while issuing request.","При взаимодействии с сервером авторизации произошёл  сбой с кодом %d."
"No access token available.","Запрос не будет обработан, потому что в нём отсутствует код доступа."
"Or","или"
"Required HTTP method is not supported.","Указанный программистом метод HTTP недопустим"
"social connect","Вход через социальные сети"
"Sorry, could not retrieve your %s first name. Please try again.","К сожалению, Вашу учётную запись в %s использовать для авторизации в нашем интернет-магазине невозможно, потому что отсутствует информация о Вашем имени."
"Sorry, could not retrieve your %s last name. Please try again.","К сожалению, Вашу учётную запись в %s использовать для авторизации в нашем интернет-магазине невозможно, потому что отсутствует информация о Вашей фамилии."
"Unable to retrieve access code.","Запрос не будет обработан, потому что в нём отсутствует код доступа."
"Unspecified OAuth error occurred.","При взаимодействии с сервером авторизации по протоколу OAuth произошёл неизвестный сбой."
"You can login using your social network account.",""
"We have discovered you already have an account at our store. Your %s account is now connected to your store account.","Ваша учётная запись в %s присоединена к Вашей учётной записи в нашем интернет-магазине."
"You have successfully logged in using your %s account.","Вы авторизованы посредством Вашей учётной зависи в %s."
"You have successfully disconnected your %s account from our store account.","Ваша учётная запись в %s отсоединена от Вашей учётной записи в нашем интернет-магазине."
"Your %1$s account is now connected to your store account. You can now login using our %1$s Connect button or using store account credentials you will receive to your email address.","Ваша учётная запись в %s присоединена к Вашей учётной записи в нашем интернет-магазине."
"Your %s account is already connected to one of our store accounts.","Ваша учётная запись в %s уже присоединена к Вашей учётной записи в нашем интернет-магазине."
