"Action","Действие"
"An error occurred while writing to the backup file ""%s"".","При записи данных в резервный файл «%s» произошёл сбой."
"Backup file ""%s"" cannot be read from or written to.","При записи или чтении резервного файла «%s» произошёл сбой."
"Backup file ""%s"" does not exist.","Резервный файл «%s» отсутствует."
"Backup file does not exist.","Резервный файл отсутствует."
"Backup file handler was unspecified.","Система не в состоянии открыть резервный файл."
"Backup file path was not specified.","Не указан путь к резервному файлу в файловой системе."
"Backups","Резервные копии"
"Cannot read backup file.","Система не в состоянии прочитать резервный файл."
"Create Backup","Создать резервную копию"
"DB","БД"
"Database was successfuly backed up.","Резервная копия базы данных успешно создана."
"Download","Скачать"
"Size, Bytes","Размер (в байтах)"
"The file was compressed with Zlib, but this extension is not installed on server.","Файл сжат при помощи Zlib, но это расширение не установлено на сервере."
"Time","Время"
"Type","Тип"
"Unable to create backup. Please, try again later.","При создании резервной копии магазина произошёл сбой."
"Wrong order of creation for new backup.","Неправильный порядок создания для новой резервной копии."
