"Add","Добавить"
"Add gift options","Добавить параметры подарка"
"Add gift options for Individual Items","Добавить параметры подарка для отдельной позиции"
"Add gift options for the Entire Order","Добавить параметры подарка для всего заказа"
"Add gift options.","Покупаете в подарок?"
"Allow Gift Messages for Order Items","Разрешить поздравительные сообщения для товаров заказа"
"Allow Gift Messages on Order Level","Разрешить поздравительные сообщения на уровне заказа"
"An error occurred while saving the gift message.","При сохранении подарочного сообщения произошёл сбой."
"Are you sure?","Вы уверены?"
"Cancel","отменить"
"Do you have any gift items in your order?",""
"Edit","Редактировать"
"From","От"
"Gift Message","Поздравительное сообщение"
"Gift Options","Поздравительное сообщение"
"Gift Options for","Параметры подарка для"
"Gift Options for Individual Items","Параметры подарка для отдельно позиции"
"Gift Options for the Entire Order.","Параметры подарка для всего заказа"
"Gift Options for this address.","Параметры подарка для этого адреса."
"Item %d of %d","Товар %d из %d."
"Message","Сообщение"
"No","нет"
"OK","OK"
"Save Gift Message","сохранить поздравительное сообщение"
"The gift message has been removed","Поздравительное сообщение удалено."
"The gift message has been saved","Поздравительное сообщение сохранено"
"The gift message has been saved.","Поздравительное сообщение сохранено."
"To","кому"
"Unknown entity type","Неизвестный тип сущности"
"Use config","использовать общие настройки (указанные в разделе «Система» → «Настройки»)"
"Yes","да"
"You can leave this box blank if you do not wish to add a gift message for the item.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для этой позиции."
"You can leave this box blank if you do not wish to add a gift message for this address.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для этого адреса."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для всего заказа."
