"%s Index process is working now. Please try run this process later.","В настоящее время система занята обновлением расчётной таблицы «%s» и поэтому не может выполнить Вашу новую команду."
"%s index was rebuilt.","Система обновила расчётную таблицу «%s»"
"'%s' Index Process Information","Настройки расчётной таблицы «%s»"
"Action","Действие"
"Actions","Выберите действие"
"Cannot initialize the indexer process.","При работе с расчётной таблицей произошёл сбой. Обратитесь к разработчику."
"Change Index Mode","изменить порядок обновления"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","<a href=""%s"">Обновить</a>."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","<a href=""%s"">Обновить</a>."
"Description","Описание"
"Disable","Отключить"
"Enable","Включить"
"General","Общее"
"Index","Расчётная таблица"
"Index Description","Описание"
"Index Management","Расчётные таблицы"
"Index Mode","Порядок обновления"
"Index Name","Название"
"Index mode","Порядок обновления"
"Indexer code is not defined.","Сбой перестройки расчётной таблицы: по неведомой причине система не смогла установить идентификатор требующей перестройки расчётной таблицы"
"Indexer model is not defined.","Сбой перестройки расчётной таблицы: по неведомой причине система не смогла установить класс, отвечающий за перестройку расчётной таблицы"
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Класс, отвечающий за перестройку расчётной таблицы, должен быть наследником класса Mage_Index_Model_Indexer_Abstract."
"Last Run","Последний запуск"
"Manual Update","обновлять по запросу"
"Mode","Режим"
"Never","не было"
"No","нет"
"One or more of the Indexes are not up to date","Следующие расчётные таблицы устарели"
"One or more of the Indexes are not up to date:","Следующие расчётные таблицы устарели:"
"Pending Events","События, ожидающие выполнения"
"Please select Index(es)","Укажите расчётные таблицы"
"Please select Indexes","Укажите расчётные таблицы"
"Process Information","Параметры"
"Processing","Устарел"
"Ready","В порядке"
"Refresh","Обновить"
"Reindex Data","обновить"
"Reindex Required","Требуется обновление"
"Status","Состояние"
"Submit","Выполнить"
"System","Система"
"The index has been saved.","Расчётная таблица обновлена."
"There was a problem with reindexing process.","При обновлении расчётной таблицы произошёл сбой."
"There was a problem with saving process.","При сохранении настроек расчётной таблицы произошёл сбой."
"Total of %d index(es) have changed index mode.","Изменён порядок обновления %d расчётных таблиц."
"Total of %d index(es) have reindexed data.","Обновлено расчётных таблиц: %d."
"Update on Save","пытаться обновлять автоматически"
"Update Required","есть новые данные?"
"Updated At","Последнее обновление"
"Select All","выбрать все"
"Select Visible","выбрать видимые"
"Unselect All","сбросить выбор"
"Unselect Visible","сбросить выбор с видимых"
"items selected","объектов выбрано"
