"%s Item(s)","новостей: %s"
"* Required Fields","* обязательные поля"
"Action","Акция"
"Add Category","Добавить рубрику"
"Add Comment","Добавить комментарий"
"Add New","Добавить рубрику"
"Add Post","Добавить новость"
"Added By","по автору"
"Advanced Options","Расширенные настройки"
"Advanced Post Options","Расширенные настройки новости"
"If enabled, all comments appear immediately without admin approval.","Все комментарии будут появлсяться мгновенно, без подтверждения Администратора."
"Approve","Принять"
"Are you sure?","Вы уверены?"
"Auto Approve Comments","Автоматически публиковать комментарии (без модерации)"
"Blog","Новости"
"Blog Comment Manager","Управление комментариями"
"Blog Manager","Управление блогом"
"Blog Post Manager","Новости"
"Blog Post Options","Настройки новости"
"Blog Settings","Настройки блога"
"Blog Title","Заголовок блога"
"By",""
"Categories","Рубрики"
"Category","Рубрика"
"Category does not exist","Рубрика не существует"
"Category Information","Информация о рубрике"
"Category Manager","Рубрики"
"Change status","Изменить статус"
"click here","кликните здесь"
"Comment","Комментарий"
"Comment Information","Информация о комментарии"
"Comment was approved","Комментарий принят"
"Comment was successfully deleted","Комментарий удален"
"Comment was successfully saved","Сохранено."
"Comment was unapproved","Комментарий отвергнут"
"Comments","Комментарии"
"Comments are not enabled.","Коментарии отключены."
"Comments will appear immediately without the need for approval by admin.","Комментарии будут появляться мгновенно, без подтверждения Администратора."
"Content","Содержимое"
"Created","Создан"
"Created At","по дате публикации"
"Delete","Удален"
"Delete Category","Удалить рубрику"
"Delete Comment","Удалить комментарий"
"Delete Post","Удалить статью"
"Description","Описание"
"Disabled","Отключен"
"Email Address","Е-мейл адрес"
"Edit","Редактировать"
"Edit Category '%s'","Редактировать рубрику '%s'"
"Edit Comment By '%s'","Редактировать комментарий '%s'"
"Edit Post '%s'","Редактировать статью '%s'"
"eg: YYYY-MM-DD HH:MM:SS Leave blank to use current date","např.: ГГГГ-ММ-ДД ЧЧ:ММ:СС. Оставьте пустым, чтобы вставилась текущая дата."
"Email","E-mail"
"Email Sender","Отправитель e-mail"
"Email Template","Шаблон e-mail"
"Enable Blog RSS Feed","Включить RSS-фид"
"Enable Comments","Включить комментарии"
"Enable Footer Link","Включить ссылки в футере"
"Enable Left Menu","Включить левое меню"
"Enable Right Menu","Включить правое меню"
"Enable Top Link","Включить верхнюю ссылку"
"Enabled","Включено"
"Frequency","Частота"
"Go to Home Page","Перейти на Главную страницу"
"Google Sitemap","Карта сайта Google"
"Hidden","Скрытый"
"Home","Домой"
"ID","ID"
"Identifier","Идентификатор"
"Keywords","Ключевые слова"
"Latest Posts","Наши новости"
"Leave blank to use current user name","Оставьте пустым, чтобы вставилось текущее имя пользователя"
"Logged in Auto Approve Comments","Автоматически принимать комментарии"
"Login Required to Comment","Требовать логин для добавления комментария"
"Manage Categories","Рубрики"
"Manage Comments","Управление комментариями"
"Manage Posts","Управление новостями"
"Manage Products","Управление товарами"
"Menus and Links","Меню и ссылки"
"Meta Data","МЕТА-данные"
"Meta Description","МЕТА-описание"
"Meta Keywords","МЕТА ключевые слова"
"Name","Имя"
"No Posts in this Category.","В этой рубрике нет новостей."
"Number of characters in a post to be displayed before it is truncated and the Read More link is added. 0 for unlimited.","Количество символов в статье которые показываются прежде чем добавляется ссылка Читать далее. 0 означает Неограничено."
"Number of post to display in the RSS feed.","Количество новостей в RSS-фиде."
"Only comments added by logged in users will be approved automatically","Только комментарии от зарегистрированных пользователей будут автоматически приниматься"
"Page Layout","Макет страницы"
"Please select categories","Выберите рубрики"
"Please select comment(s)","Выберите комментарий(ии)"
"Please select post(s)","Пожалуйста выберите статью(и)"
"Post was successfully deleted","Новость удалена"
"Post does not exist","Новость не найдена"
"Post Identifier already exist.","Новость с таким идентификатором уже существует."
"Post Identifier cannot consist only of numbers.","Идентификатор новости не может состоять из одних цифр."
"Post information","Настройки новости"
"Post was successfully deleted","Новость удалена"
"Post was successfully saved","Новость сохранена"
"Posted",""
"Posted By","Автор"
"Posted in","Опубликовано в"
"Poster","Автор"
"Posts","Новости"
"Posts per Page","Новостей на странице"
"Priority","Приоритет"
"Read More","Читать дальше"
"Recent Posts","Свежие новости"
