"Action","Действие"
"Add Sitemap","Добавить карту сайта"
"Always","Всегда"
"CMS Pages Options","Параметры самодельных страниц"
"Categories Options","Параметры разделов"
"Daily","Ежедневно"
"Edit Sitemap","Параметры карты сайта"
"Enabled","Включено"
"Error Email Recipient","Получатель"
"Error Email Sender","Отправитель"
"Error Email Template","Шаблон"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Невозможно сохранить файл «%s». Убедитесь, что папка «%s» доступна для записи."
"Filename","Имя файла"
"Frequency","Периодичность"
"Generate","построить"
"Generation Settings","Параметры"
"Google Sitemap","Карта сайта"
"Hourly","Каждый час"
"ID","№"
"Last Time Generated","Время обновления"
"Link for Google","Веб-адрес"
"Monthly","Ежемесячно"
"Never","Никогда"
"New Sitemap","Новая карта сайта"
"Path","Путь"
"Please create the specified folder ""%s"" before saving the sitemap.","Создайте указанную папку «%s» перед сохранением карты сайта."
"Please define correct path","Пожалуйста, укажите правильный путь"
"Please make sure that ""%s"" is writable by web-server.","Пожалуйста, убедитесь что папка «%s» доступна для записи."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Пожалуйста, используйте в названии файла только буквы (a-z или A-Z), цифры (0-9) или подчёркивание (_). Пробелы и другие символы запрещены."
"Priority","Приоритет"
"Products Options","Параметры товаров"
"Sitemap","Карта сайта"
"Sitemap generate Warnings","Замечания к простроенным картам сайта"
"Start Time","Время начала"
"Store View","Витрина"
"The priority must be between 0 and 1.","Приоритет может быть в интервале между 0 и 1."
"The sitemap ""%s"" has been generated.","Карта сайта «%s» построена."
"The sitemap has been deleted.","Карта сайта удалена."
"The sitemap has been saved.","Карта сайта сохранена."
"This sitemap no longer exists.","Карта сайта больше не существует."
"Unable to find a sitemap to delete.","Система не нашла подлежащую удалению карту сайта."
"Unable to find a sitemap to generate.","Система не нашла подлежащую к публикации карту сайта."
"Unable to generate the sitemap.","При построении карты сайта произошёл сбой."
"Valid values range: from 0.0 to 1.0.","Корректный диапазон значений: от 0.0 до 1.0."
"Weekly","Еженедельно"
"Yearly","Ежегодно"
