"A block identifier with the same properties already exists in the selected store.","Идентификатор блока с такими параметрами уже существует в выбранном магазине."
"A directory with the same name already exists. Please try another folder name.","Папка с таким именем уже существует. Пожалуйста, укажите другое название."
"A page URL key for specified store already exists.","Адрес страницы для указанного магазина уже существует."
"Action","Действие"
"Add New Block","Добавить новый блок"
"Add New Page","Добавить страницу"
"All Countries","любая"
"An error occurred while saving the page.","При сохранении страницы произошёл сбой."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Are you sure you want to delete current folder?","Вы действительно хотите удалить текущую папку?"
"Are you sure you want to delete the selected file?","Вы действительно хотите удалить выбранный файл?"
"Block","Блок"
"Block Information","Параметры блока"
"Block Title","Заголовок блока"
"CMS","Витрина"
"CMS Home Page","Содержимое центральной области главной страницы витрины (используется только в том случае, если значение в графе «Внутренний адрес главной страницы витрины» начинается «cms»)"
"CMS No Cookies Page","Содержимое центральной области витрины в том случае, когда браузер посетителя не принимает от магазина cookies"
"CMS No Route Page","Содержимое центральной области витрины в том случае, когда запрашиваемая посетителем страница витрины отсутствует (используется только в том случае, если значение в графе «Внутренний адрес, который система будет использовать в том случае, когда запрашиваемая посетителем страницы витрины отсутствует» начинается «cms»)"
"CMS Page","Самодельная страница"
"CMS Page Link","Ссылка на самодельную страницу"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Pages (All)","Самодельные страницы (все)"
"CMS Static Block","Самодельный блок"
"CMS Static Block Default Template","Самодельный блок. Стандартный шаблон"
"Cannot create new directory.","Невозможно создать новую папку."
"Cannot delete directory %s.","Невозможно удалить папку %s."
"Cannot delete root directory %s.","Невозможно удалить корневую папку %s."
"Cannot upload file.","Невозможно закачать файл."
"Collapse All","Свернуть всё"
"Content","Содержимое"
"Content Heading","Заголовок для читателей"
"Content Management","Тексты"
"Contents of a Static Block","Содержимое самодельного блока"
"Create Folder...","Создать папку..."
"Custom Design","Индивидуальная оформительская тема"
"Custom Design From","Дата вступления в действие"
"Custom Design To","Дата утраты действия"
"Custom Layout","Остовный шаблон"
"Custom Layout Update XML","Дополнительные макетные правила"
"Custom Theme","Тема"
"Customer Tax Class Information","Налоговая группа покупателей"
"Date Created","Дата создания"
"Delete Block","Удалить блок"
"Delete File","Удалить файл"
"Delete Folder","Удалить папку"
"Delete Page","Удалить"
"Description","Описание"
"Design","Оформление"
"Disabled","Отключено"
"Disabled Completely","Отключено полностью"
"Disabled by Default","Отключено по умолчанию"
"Edit Block","Настройка блока"
"Edit Block '%s'","Блок: «%s»"
"Edit Page","Настройка страницы"
"Edit Page '%s'","Страница: «%s»"
"Enable WYSIWYG Editor","Включить режим полного соответствия текстового редактора?"
"Enabled","Включено"
"Enabled by Default","Включено по умолчанию"
"Expand All","Развернуть всё"
"General Information","Общая информация"
"Go to Home Page","Перейти на главную страницу"
"Home","Главная"
"ID","№"
"Identifier","Идентификатор"
"If empty, the Page Title will be used","Если не заполнено, то будет использован заголовок страницы"
"Images (%s)","Изображения (%s)"
"Insert File","Вставить файл"
"Insert Image...","Вставить картинку..."
"Insert Widget...","Вставить виджет..."
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Неверное название папки. Пожалуйста, используйте буквы, цифры, подчёркивания и тире."
"Keywords","Ключевые слова"
"Last Modified","Последнее изменение"
"Layout","Остовный шаблон"
"Layout Update XML","Дополнительные макетные правила"
"Link to a CMS Page","Ссылка на CMS страницу"
"Manage Pages","Самодельные страницы"
"Media Storage","Хранилище картинок"
"Meta Data","Метаданные"
"Meta Description","Описание"
"Meta Keywords","Ключевые слова"
"New Block","Новый блок"
"New Folder Name:","Название новой папки:"
"New Page","Новая страница"
"No files found","Файлы не найдены"
"Page Information","Настройки"
"Page Layout","Макет страницы"
"Page Status","Состояние страницы"
"Page Title","Заголовок для поисковых роботов и браузера"
"Page was successfully saved","Страница сохранена"
"Pages","Самодельные страницы"
"Paragraph","Параграф"
"Product Tax Class Information","Налоговая группа товаров"
"Redirect to CMS-page if Cookies are Disabled","Перенаправлять ли посетителей на пояснительную страницу с просьбой включить куки, если куки отключены?"
"Relative to Website Base URL","Относительно корневого адреса сайта.
<br/>Например, если Вы хотите назначить странице адрес <b>http://example.ru/страница</b>,
то напишите в данном поле «<b>страница</b>»."
"Save Block","сохранить блок"
"Save Page","Сохранить"
"Save Process","Сохранить и вернуться"
"Select Block...","Выберите блок..."
"Select Page...","Выберите страницу..."
"Show / Hide Editor","визуальный редактор / разметка HTML"
"Show Breadcrumbs for CMS Pages","Показать ли хлебные крошки для самодельных страниц?"
"Show Notice if JavaScript is Disabled","Показывать ли уведомление, если отключен JavaScript?"
"Static Blocks","Самодельные блоки"
"Status","Опубликована?"
"Storage Root","Хранилище"
"Store View","Витрина"
"Template","Шаблон"
"The block has been deleted.","Блок удалён."
"The block has been saved.","Блок сохранён."
"The directory %s is not writable by server.","Папка %s недоступна для записи."
"The page URL key cannot consist only of numbers.","Адрес страницы не может состоять только из чисел."
"The page URL key contains capital letters or disallowed symbols.","Адрес страницы содержит большие буквы или запрещённые символы."
"The page has been deleted.","Страница удалена."
"The page has been saved.","Страница сохранена."
"This block no longer exists.","Этот блок больше не существует."
"This page no longer exists.","Эта страница больше не существует."
"Title","Заголовок"
"URL Key","Веб-адрес"
"Unable to find a block to delete.","Система не нашла подлежащий  удалению блок."
"Unable to find a page to delete.","Система не нашла подлежащую удалению страницу."
"WYSIWYG Options","Режим полного соответствия текстового редактора"
"px.","пикс."
