"%s","%s"
"-- Please Select --","-- выберите значение --"
"Actions","Действия"
"Add Layout Update","Добавить обновление макета"
"Add New Widget Instance","добавить виджет..."
"All","Все"
"All Pages","Все страницы"
"All Product Types","Все типы товаров"
"Anchor Categories","Товарные разделы с пошаговой фильтрацией"
"Assign to Store Views","Использовать на следующих витринах"
"Big Image","Большое изображение"
"Block Reference","Блок"
"CMS","CMS"
"Categories","Разделы"
"Choose...","Выбрать..."
"Click for price","Click for price"
"Close","Закрыть"
"Continue","Продолжить"
"Default Template","Стандартный шаблон"
"Delete","Удалить"
"Design Package/Theme","Пакет дизайна/Тема"
"Export to:","экспортировать в:"
"Frontend Properties","Настройки для витрины"
"Generic Pages","Стандартные страницы"
"Images","Изображения"
"Insert Widget","Вставить виджет"
"Layout Updates","Обновления макета"
"Manage Widget Instances","Перечень виджетов"
"New Instance","Новый экземпляр"
"New Widget Instance","Новый виджет"
"Next page","Следующая страница"
"Non-Anchor Categories","Товарные разделы без пошаговой фильтрации"
"Not Selected","Не выбрано"
"Page","страница"
"Please Select Block Reference First","Укажите сначала блок"
"Previous page","Предыдущая страница"
"Products","Товары"
"Remove Layout Update","Удалить обновление макета"
"Save and Continue Edit","сохранить и остаться"
"Select All","выбрать все"
"Select Visible","выбрать видимые"
"Settings","Настройки"
"Sort Order","порядок"
"Sort Order of widget instances in the same block reference","Порядок виджетов"
"Specific %s","Определённый %s"
"Specified Page","Указанная страница"
"Template","Шаблон"
"The information in this tab has been changed.","Информация на этой вкладке была изменена."
"The widget instance has been deleted.","Виджет удалён."
"The widget instance has been saved.","Виджет сохранён."
"This tab contains invalid data. Please solve the problem before saving.","На этой вкладке содержатся неверные данные. Исправьте их перед сохранением."
"Thumbnail","Мини-изображение"
"Total %d records found","всего объектов: %d"
"Type","Тип"
"Unselect All","сбросить выбор"
"Unselect Visible","сбросить выбор с видимых"
"View","Выводить"
"Widget","Виджет"
"Widget ""%s""","Виджет «%s»"
"Widget ID","Номер виджета"
"Widget Instance","Виджет"
"Widget Instance Title","Заголовок виджета"
"Widget Options","Параметры виджета"
"Widget Type","Тип виджета"
"Widget Type is not specified","Не указан тип виджета"
"Widget instance is not full complete to create.","Виджет ещё не готов для создания."
"Widgets","Виджеты"
"Wrong wigdet instance specified.","Указан неверный виджет."
"items selected","объектов выбрано"
"of %s pages","из %s"
"per page","на страницу"
