"%s; rev #%s","%s; редакция №%s"
"Access Level","Доступ"
"Add Node...","Добавить раздел..."
"Add Selected Page(s) to Tree","Привязать указанные страницы к указанному разделу"
"Add To Tree","добавить к оглавлению"
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Are you sure you want to break current lock?","Are you sure you want to break current lock?"
"Are you sure you want to delete this revision?","Удалить эту редакцию?"
"Are you sure?","Удалить?"
"Author","Автор"
"Author:","Автор:"
"Both","оба"
"CMS","CMS"
"CMS Hierarchy","Оглавление"
"CMS Hierarchy Node Link","Журнальное меню"
"CMS Page Default Versioning","Значение по умолчанию для опции страницы «Вести учёт вариантов и редакций?»"
"CMS Page Hierarchy","Оглавление"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Page Trees","Оглавление"
"CMS Pages","Самодельные страницы"
"CMS Versioning","Учёт вариантов и редакций страниц"
"Can not change version access level because its revision has been published.","Нельзя скрыть вариант, потому что его редакция опубликована на витрине."
"Cancel","Отмена"
"Cannot change version access level because it is last public version for its page.","Cannot change version access level because it is last public version for its page."
"Choose Revision","Укажите редакцию"
"Choose Store View","укажите витрину"
"Circle","колечко: ◦"
"Content","центральная область, над текстом"
"Could not load specified revision.","При загрузке указанной редакции произошёл сбой."
"Could not load specified version.","При загрузке указанного варианта произошёл сбой."
"Created","Время создания"
"Created At","Created At"
"Created:","Created:"
"Current Modification","Последняя редакция"
"Currently Published Revision","Опубликованная редакция"
"Default","стандартный для всего сайта"
"Default Layout for Hierarchy Menu","Стандартное место вспомогательного меню на витрине"
"Delete","Удалить"
"Delete Revision and Version","Удалить редакцию и весь вариант"
"Disabled by Default","Disabled by Default"
"Disc","кружок: •"
"Edit Page '%s' New Revision","Страница: «%s». Новая редакция."
"Edit Page '%s' Revision #%s","Страница: «%s». Редакция №%s."
"Edit Page '%s' Version '%s'","Страница: «%s».<br/>Вариант: «%s»."
"Edit Revision","Правка редакции"
"Edit Version","Правка варианта"
