"Action","Действие"
"Add Deal","Новая распродажа..."
"Add to Cart","купить"
"Add to Compare","сравнить"
"Add to Wishlist","запомнить"
"Are you sure?","Удалить?"
"Change status","Изменить состояние"
"Daily Deal","Распродажа"
"Deal Discount","Скидка"
"Deal does not exist","Распродажа не найдена"
"Deal information","Информация"
"Deal Information","Информация"
"Deal Manager","Распродажи"
"Deal Name","Название"
"Deal of the day","Распродажа"
"Deal Price","Цена со скидкой"
"Deal Price must be smaller than Product price","Распродажная цена должна быть ниже обычной"
"Deal Qty","Количество для распродажи"
"Deal should not be deleted","Эту распродажу не стоит удалять"
"Deal was successfully deleted","Распродажа удалена"
"Deal was successfully saved","Распродажа сохранена"
"Delete","Удалить"
"Delete Deal","Удалить"
"Disable","Отключить"
"Discount","Скидка"
"Edit","Изменить"
"Edit '%s'","Редактирование «%s»"
"Edit Product","Редактировать товар"
"Enable","Включить"
"End Time","Завершение"
"End To","Завершение"
"Hurry, there are only %s item(s) left!","Осталось: %s."
"ID","№"
"Item ID","№"
"Latest","сначала новые"
"Name","Название"
"Off","скидка"
"Order ID","№ заказа"
"Out of stock","отсутствует"
"Please select Deal(s)","Выберите распродажи"
"Product","Товар"
"Product Name","Название товара"
"Product Price","Цена товара"
"Product Qty","Количество товара"
"Purchased From (Store)","Магазин"
"Purchased On","Время"
"Qty","Кол-во"
"Quantity","Кол-во"
"Quick View","открыть"
"Random","случайным образом"
"Save And Continue Edit","Сохранить и остаться"
"Save Deal","Сохранить"
"Select a product","Выбрать товар"
"Select a Product","Выбрать товар"
"Sold","Продано"
"Start From","Начало"
"Start Time","Начало"
"Start time must be smaller than close time!","Время начала должно предшествовать времени завершения"
"Status","Состояние"
"Store","Магазин"
"The current server time is","Время"
"The number that you have inserted is over the deal quantity left. Please reinsert another one!","Указанное Вами количество превосходит количество распродажного товара."
"There are no products matching the selection.","Товары отсутствуют"
"There is no daily deal available!","В настоящее время распродажи отсутствуют."
"This Month","в этом месяце"
"This Week","на этой неделе"
"Title","Название"
"Today","сегодня"
"Total","Стоимость"
"Total of %d Deal(s) were successfully deleted","Удалено распродаж: %d."
"Total of %d Deal(s) were successfully updated","Обновлено распродаж: %d."
"Type","Системный тип"
"Unable to find deal to save","Распродажа не найдена"
