"""%s"" is not available in the requested quantity. %s of the items will be backordered.","К сожалению в данный момент у нас нет требуемого количества единиц товара «%s». %d шт. данного товара будет зарезервировано. Наш работник свяжется с вами и проинформирует о возможном сроке ожидания."
"%s is available for purchase in increments of %s only.","Товар %s доступен для заказа только в количестве с шагом %s."
"%s is not a correct comparsion method.","Вы задали неизвестный системе способ сравнения количества: «%s»."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Внимание</strong>, эти параметры задаются индивидуально для каждого товара на административной карточке товара. Здесь же указаны стандартные значения (значения по умолчанию)."
"Add Minimum Qty","добавить минимальное количество..."
"Allow Qty Below 0","Разрешить заказ отсутствующих на складе товаров и не предупреждать покупателя об отсутствии заказанного им товара"
"Allow Qty Below 0 and Notify Customer","Разрешить заказ отсутствующих на складе товаров, но предупредить покупателя об отсутствии заказанного им товара"
"Automatically Return Credit Memo Item to Stock","Автоматически приходовать возвращённый покупателем товар"
"Backorders","Разрешать ли заказ отсутствущих на складе магазина товаров?"
"By Fixed value","На фиксированное значение"
"By Percentage","На процент"
"Cannot specify product identifier for the order item.","Невозможно указать идентификатор товара для элемента заказа."
"Decrease Stock When Order is Placed","Уменьшать ли количество имеющегося в наличии товара сразу после его заказа?"
"Display Out of Stock Products","Выставлять ли на витрину отсутствующие в наличии товары?"
"Display products availability in stock in the frontend","Показывать ли на витрине факт наличия/отсутствия товара на складе?"
"Enable Qty Increments","Контролировать ли кратность количества заказываемых единиц конкретного товара заданной партии?"
"In Stock","в наличии"
"Index Product Stock Status","Хранит количество товара на складе"
"Inventory","Наличие"
"Inventory Section","Экран наличия товара"
"Manage Stock","Учёт наличия"
"Maximum Qty Allowed in Shopping Cart","Максимальное количество единиц одного товара, допустимое в одном заказе"
"Minimum Qty","Минимальное количество"
"Minimum Qty Allowed in Shopping Cart","Минимальное количество единиц одного товара, допустимое в заказе"
"No Backorders","Не допускать заказ отсутствующих на складе магазина товаров"
"Not all products are available in the requested quantity","Не все товары есть в наличии в требуемом количестве"
"Notify for Quantity Below","Оповещать о количестве ниже"
"Only %s left","осталось всего %s"
"Only X left Threshold","Порог, при понижении количества имеющихся в наличии единиц товара ниже которого, система будет показывать на витрине сообщение «Осталось в наличии: X»"
"Out of Stock","нет в наличии"
"Product Name","вариант"
"Product Stock Options","Стандартные значения других параметров наличия товара"
"Products will still be shown by direct product URLs.","Даже если Вы отключите показ на витрине отсутствующих на складе товаров, эти товары всё равно будут доступны для показа посредством перехода по прямой ссылке на товар. Это позволяет поисковым системам сохранять товарные страницы в поисковой выдаче."
"Qty","штук"
"Qty Increments","Требуемая кратность заказываемой партии конкретного товара"
"Qty for Item Status to Become Out of Stock","Минимальное количество единиц конкретного товара на складе, по достижению которого товар считается отсутствующим в наличии"
"Retrieve stock data","Получить данные наличия"
"Retrieve stock data by product ids","Получить количество товара на складе по номеру товара"
"Rule price","Цена для правила"
"Set Items' Status to be In Stock When Order is Cancelled","Переводить ли товар в состояние «есть в наличии» после отмены заказа?"
"Some of the products are currently out of stock","Некоторых товаров нет в наличии"
"Some of the products cannot be ordered in requested quantity.","Некоторые товары не могут быть заказаны в указанном количестве."
"Some of the products cannot be ordered in the requested quantity.","Некоторые товары не могут быть заказаны в указанном количестве."
"Stock Options","Параметры наличия товара"
"Stock Status","Складские остатки"
"The maximum quantity allowed for purchase is %s.","Максимальное количество, разрешённое для приобретения: %s."
"The minimum quantity allowed for purchase is %s.","Минимальное количество, разрешённое для приобретения: %s."
"The ordered amount of particular product must be a multiple of the value specified.","Система будет контролировать кратность количества заказываемых единиц конкретного товара указанному здесь значению."
"The requested quantity for ""%s"" is not available.","Запрашиваемое количество для товара «%s» недоступно."
"The requested quantity is not available.","Запрашиваемое количество недоступно."
"The stock item for Product in option is not valid.","Неверное количество выбранного товара."
"The stock item for Product is not valid.","Неверное количество товара."
"This product is available for purchase in increments of %s only.","Этот товар доступен для заказа только в количестве с шагом %s."
"This product is currently out of stock.","Данного товара в настоящее время нет в наличии."
"This product is not available in the requested quantity. %s of the items will be backordered.","К сожалению в данный момент у нас нет требуемого количества единиц данного товара. %d шт. данного товара будет зарезервировано. Наш работник свяжется с вами и проинформирует о возможном сроке ожидания."
"To Fixed Value","К фиксированному значению"
"To Percentage","К процентному значению"
"Undefined product type.","Не определён тип товара."
"Update","Обновить"
"Update product stock data","Обновить данные о наличии товара"
"Update the Product","Обновить товар"
